,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_SupremeCourt_OrderNo.2020-47_031620,3/16/20,3/16/20,3/31/20,,Y,N,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,Y,3/31/20 (specifically tolls time in the eviction procedure rules),N,N,N,Local Discretion,N,N,N,,N,N,N,"In-person proceedings ordered to be ""avoided to the greatest extent possible""; directs judges of superior courts to direct how in-person proceedings can be conducted as safely as possible; tolls time",,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Governor,,Eviction Moratorium,COVID-19 Related,AZ_Governor_ExecutiveOrderNo.2020-49_07162020,7/16/20,7/23/20,10/31/20,,N,COVID-19 Related,N/A,N/A,Y,Y,N,N,N,Y,Non-payment related to COVID-19,N,N/A,N,N,N,N,N,COVID-19 Related,N,N,N,N,N,"Prohibits reseidential eviction enforcement when tenant's nonpayment is due to COVID-19 hardship or is under order to quarantine. The court can decide upon motion that the eviction should still happen ""in the interest of justice."" Tenants must submit new paperwork to their landlords by Aug. 22 to keep their homes: (1) Re-notify the landlord of their hardship; (2) Show proof of their ongoing hardship; (3) Request a payment plan from their landlord; and (4) Show they have completed an application for rental aid.",,N,N,N,N,N/A,N,N/A,N,N,N/A,N,N/A,N,N/A
,ARIZONA (AZ),,,Governor,,Eviction Moratorium,COVID-19 Related,AZ_GovernorExecutiveOroder_No2020-21_040620,4/6/20,4/6/20,5/31/20,,N,COVID-19 Related,N/A,N/A,N,N,Y,N,N/A,N/A,N/A,N/A,,N,N,N,N,N,COVID-19 Related,N,,N,N,N,Prohibits commercial eviction where nonpayment is due to COVID-19 related hardship,,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Governor,,Eviction Moratorium,COVID-19 Related,AZ_Gov_EO_032420,3/24/20,3/24/20,7/22/20,,N,COVID-19 Related,Local Discretion,N/A,,Y,N,N,N,Y,Non-payment related to COVID-19,N,N/A,N,N,N,N,N,COVID-19 Related,N,,N,Y,N,Prohits residential eviction enforcement when nonpayment is due to COVID-19 hardship,,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Governor,,Tenancy Preservation,N/A,AZ_EmergencyREPAP_033020,3/30/20,3/30/20,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$5 million in funding. Applicant's primary residence must be AZ and applicant must have seen a reduction in income due to COVID-19, that when annualized, does not exceed 100 percent of the area median income adjusted for family size for the county in which they reside. ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARKANSAS (AR) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"As of May 18, eviction proceedings may proceed in-person or remotely at the discretion of the presiding judge. However, plaintiffs must certify that the property at issue is not covered by the CARES Act moratorium. The Arkansas Public Service Commission will stop all utility disconnections and waive fees for utility reconnection until the end of public health emergency.",Court,,,Y,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,until further order (time to serve complaint),N,N,N,N,N,N,N,Y,N,N,N,,N,Y,Y,,,,,,,,,,,,
,ARKANSAS (AR) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,,AR_SupremeCourtOpinion_050820,5/8/20,5/18/20,,,N,N,Local Discretion,Y,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"As of May 18, Arkansas courts will resume conducting hearings in all types of cases and can be conducted remotely or in-person. Rescinds suspension of time requirements under Arkansas Civil Procedure Rules 33(b), 34(b), and 36(a). Time remains suspended under ACPR 4(i) (Time for Service of Complaint) and District Court Rule 3 (Time for Service of Complaint)..",,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,,AR_SupremeCourt_042820,4/28/20,4/28/20,until further order,,Partial,N,N/A,N/A,Y,N,N,N,N,N/A,N/A,Y,until further order,N,N,N,N,N,N,N,N,N,N,N,"Suspends the time requirements under Arkansas Civil Procedure Rules 4(i), 33(b), 34(b), and 36(a) and District Court Rule 3.",,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,N,AR_SupremeCourt_Opinion_042820,4/28/20,4/28/20,7/25/20,,N,N,N/A,N/A,N,Y,N,Y,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N/A,Y,N,N,Y,Court opinion requires certification that the property is not covered under the CARES Act for plaintiffs filing for eviction.,,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,N,AR_ChiefJustice_Letter_042420,4/24/20,4/24/20,n/a,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,"Memo on reopening plan. Directs courts to start purchasing thermometers/PPE, coming up with screening questions, figuring out how many people can be in a courtroom, etc.",,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,Y,AR_SupremeCourt_Order_042320,4/23/20,4/23/20,5/15/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,extends suspension of in-person proceedings,,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,Y,AR_SupremeCourt_Order_040320,4/3/20,4/3/20,5/1/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,extends suspension of in-person proceedings,,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,Y,AR SupremeCourt 032020,3/20/20,3/20/20,4/17/20,,Partial,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,Y,not exactly but states that filing extensions will be granted if the length is reasonable and if the extension relates to the pandemic,N,N,N,Local Discretion,N,N,N,N,N,N,N,Closes a building in Little Rock; extends suspension of in-person proceedings; authorizes clerk to grant extensions,,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Court,Supreme Court,,Y,AR_ SupremeCourt 031720,3/17/20,3/17/20,4/3/20,,Partial,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,,N,N,N,N,N,N,N,N,N,N,N,suspending in person proceedings subject to exceptions; encouraging remote proceedings,,,,,,,,,,,,,,,
,ARKANSAS (AR),,,Governor,Governor Asa Hutchinson,,N,AR_GovernorEONo.20-37_06/18/20,6/18/20,6/18/20,8/17/20,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,Extends public health emergency for 60 days (meaning the suspension of utility disconnections is extended 60 days).,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,,
,ARKANSAS (AR),,,Utility Board,Public Service Commission,Utilities,Y,AR_PublicServiceCommission,4/10/20,4/10/20,,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N,Suspends all utility disconnections until the end of the public health emergency. Also waives fees related to utlity reconnection.,N,Y,Y,N,N,,N/A,,N/A,N/A,,N/A,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIFORNIA (CA) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",Court/Governor,,,COVID-19 Related,,,,post-emergency,,N,Y,Local Discretion,Y,Y,Y,Y,Y,Y,Y,N/A,Y,Deadline for tenant to file a response in an eviction case is extended from 5 days to 60 days; all deadlines that would have expired between March 20 and April 20 are extended by 30 days,N,N,N,Y,N,COVID-19 Related,N,N,Y,Y,Y,,,,,,,,,,,,,,,,
,CALIFORNIA (CA) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIFORNIA (CA),,,Court,,,Y,CA_JudicialCouncil_040920,4/9/20,3/20/20,4/20/20,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,orders each court of appeals to issue an order extending court deadlines that would fall between March 20 and April 20 by 30 days,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N,Tolls time,,,,,,,,,,,,,,,
,CALIFORNIA (CA),,,Court,,,Y,CA_Judicial Council of California_040420,4/4/20,4/6/20,"90 days after state of emergency is lifted, or until amended or repealed by the Judicial Council",,N,N,Local Discretion,Y,N/A,Y,Y,Y,Y,N,N/A,Y,tolls deadline for tenant to file a response from 5 days to 60 days,N,N,N,Y,N,N,N,N,Y,Y,Y,"Suspends the issuance of summons and entry of default and default judgments on unlawful detainer complaints, and to allow courts to set trials on any unlawful detainer actions in which a defendant has appeared more than 60 days after the request for such a trial, unless the court finds that earlier action is needed to protect public health and safety. Adopts emergency rule 2 to stay all actions for judicial foreclosures on mortgages and deeds of trust and extend all deadlines related to such actions. Provides for remote hearings.",,,,,,,,,,,,,,,
,CALIFORNIA (CA),,,Court,,,N,CA_ChiefJustice_Order_033020,3/30/20,3/30/20,open,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,,N,N,N,Local Discretion,N,N,N,N,N,N,N,authorizes superior courts to issue orders extending required time periods and support courts' use of technology,,,,,,,,,,,,,,,
,CALIFORNIA (CA),,,Court,,,Local Discretion,CA_ChiefJustice_Guidance_031620,3/16/20,3/16/20,open,,Partial,N,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,Local Discretion,,N,N,N,Local Discretion,N,N,N,N,N,N,N,"provides guidance on requests for emergency orders (in CA, superior courts have to petition supreme court for emergency orders) that will presumptively be granted",,,,,,,,,,,,,,,
,CALIFORNIA (CA),,,Governor,Gavin Newsom,Eviction Moratorium,Local Discretion,CA_Governor_ExecOrderNo.71-20_063020,6/30/20,6/30/20,09/30/20,,N,N,N/A,N/A,N/A,Y,N,Y,N/A,N/A,Non-payment related to COVID-19,N,,N,Local Discretion,Local Discretion,Local Discretion,Local Discretion,Local Discretion,N,N,Y,N,N,"Extends EO N-28-20 for an additional 60 days. It removes state statutory barriers to local government's exercise of police power to impose limitations on evictions and foreclosures until September 30, 2020.",N/A,N,N,N,N,,N,,N,N,,N,,,
,CALIFORNIA (CA),,,Governor,Gavin Newsom,Eviction Moratorium,Local Discretion,CA_Governor_ExecOrderNo.66-20_052920,5/29/20,5/29/20,open,,Y,N,N/A,N/A,N/A,Y,N,Y,N/A,Y,Non-payment related to COVID-19,N,,N,Local Discretion,Local Discretion,Local Discretion,Local Discretion,Local Discretion,N,N,Y,N,,"Extends EO N-28-20 for an additional 60 days from May 29, 2020. It removes state statutory barriers to local government's exercise of police power to impose limitations on evictions and foreclosures until July 28, 2020.",N/A,N,N,N,N,,N,,N,N,,N,,,
,CALIFORNIA (CA),,,Governor,,,COVID-19 Related,CA_Governor_ExecOrderNo.37-20_032720,3/27/20,3/27/20,5/31/20,,Y,Y,N/A,N/A,,Y,N,N,N/A,Y,N/A,Y,"tolls deadline for tenant to file a response from 5 days to 60 days, if defendant has paid rent before and can show that nonpayment is related to COVID-19",N,N,N,In Effect Y,N,COVID-19 Related,N,N,Y,Y,N,"extends deadline to respond to a complaint seeking to evict for nonpayment of rent by 60 days, if nonpayment is due to hardship caused by COVID-19; also states that no writ may be enforced to evict a tenant who fits this description.",,,,,,,,,,,,,,,
,CALIFORNIA (CA),,,Governor,,,COVID-19 Related,CA_Governor_ExecOrderNo.28-20_031620,3/16/20,3/16/20,5/31/20,,Partial,N,N/A,N/A,N/A,Y,N,Y,N/A,Y,Non-payment related to COVID-19,N,,N,Local Discretion,Local Discretion,Local Discretion,Local Discretion,Local Discretion,N,N,Y,Y,N,removes statutory barriers to lower courts' limiting evictions,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COLORADO (CO) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"Gov. Polis's current executive order requires that landlords must provide tenants with thirty (30) days’ notice of any default for non-payment before initiating or filing action for forcible entry and detainer. The order also prohibits late fees in all cases and requests that landlords implement the model repayment plan created by the Dept. of Local Affairs. The state has established a low-income rental assistance program for households impacted by COVID-19, and has devoted funding to direct housing assistance and legal representation. Nearly all judicial districts and several counties have issued orders continuing most civil matters or ordering them to be done via teleconference. Finally, several utilities providers in Colorado have suspended shutoffs; several towns and cities have asked providers to do the same or else said that they will not disconnect service.",Court/Governor,,,Local Discretion,,,,6/13/20,6/13/20,N,N,Local Discretion,Y,Y,Y,N,N,N/A,Y,Non-payment related to COVID-19,N,N/A,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,,,Y,,,,,,,Y,
,COLORADO (CO) PEAK STATUS SUMMARY,,"Previously, Colorado's Governor had issued an executive order that prohibits enforcement of evictions and filing of eviction cases in cases where non-payment of rent was due to financial hardship created by COVID-19. The governor had also directed that some foreclosure sale deadlines are extended to April 30, and treasurers are authorized to waive delinquent interest on delinquent property tax payments. Colorado's Chief Justice issued an order suspending non-essential court functions; the order gives lower court judges discretion to determine whether matters not specifically mentioned in the order (which evictions are not) should be heard.  Sheriffs in the city of Denver are not executing orders of eviction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COLORADO (CO),,,Court,,,Local Discretion,CO_SupremeCourt_Order050520,5/5/20,5/5/20,5/31/20,,Y,N,Local Discretion,Y,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,Extends operations of courts on emergency basis. Proceedings should be held remotely where feasible. Emergency cases prioritized.,,,,,,,,,,,,,,,
,COLORADO (CO),,,Court,,,Local Discretion,CO_SupremeCourtOrder_041620,4/16/20,4/16/20,until further order,,Y,N,Local Discretion,N/A,Y,N,N,N,N,N,N/A,Local Discretion,N/A,N,N,N,Local Discretion,N,N,N,N,N,N,N,Extends 3/16 order until further of the court,,,,,,,,,,,,,,,
,COLORADO (CO),,,Court,,,Local Discretion,CO_SupremeCourt_Order_031620,3/16/20,3/16/20,4/3/20,,Y,N,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,Local Discretion,N/A,N,N,N,N,N,Local Discretion,N,N,N,N,N,"designates certain matters essential; all other matters, up to lower court judges to figure out what to do.",,,,,,,,,,,,,,,
,COLORADO (CO),,,Legislation,Colorado House,Utilities,N,CO_Legislature_Bill_HB20-1412_061220,6/22/20,6/22/20,12/4/2020,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,"Establishes a Low-Income household utility-payment relief fund, funded with $4.8 million from the CARES act. Recipients must demonstrate that their hardship is a direct result of COVID-19.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,COLORADO (CO),,,Legislation,Colorado House,Tenancy Preservation,N,CO_Legislature_Bill_HB20-1410_061520,6/22/20,06/22/20,N/A,,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Disbursing CARES funds: $350k for eviction legal defense and $19.65m for direct housing assistance.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A
,COLORADO (CO),,,Legislation,,,Y,CO_Legislation_HouseBill20-1009_signed_032020,3/20/20,12/1/20,N/A,,N,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,"Seals eviction court records where tenant prevails. Where tenant does not prevail, seals records where all parties agree. The law is subject to a possible referendum before it goes into effect.",,,,,,,,,,,,,,,
